Clinic Name,Province,Location,Owner,LinkedIn,Website,Phone,Email,Latitude,Longitude
Vetland Veterinary Clinic,Ajman,Al Ajman,Dr. Tarek Shoeb,,https://vetlandclinic.com/,971 0502214462,info@vetlandclinic.com,25.38036617,55.60309403
Canary Pet Hub,Ajman,Al tihead Road - Al Zorah - Ajman - United Arab Emirates,Ahmed Al Mahmood,https://www.linkedin.com/ihmedaalmahmoodb6537bb1/,http://www.canarypetgroup.com/,971 0506942426,rak@canarypetgroup.com,25.4230002,55.49353562
Al Mustakbal Veterinary Clinic,Ajman,Al Rawda 3,,,http://www.amvclinic.com/,971 56 868 8600,,25.38733643,55.50554802
Wellness Vet Clinic,Ajman,Al Rawda 1,,,https://wellnessvetclinic.ae/,971 56 665 7584,info@wellnessvetclinic.ae,25.38467109,55.52228071
Soul Veterinary Clinic,Ajman,Jerf Industrial,Mark Jance,,http://www.soulvet.ae/,971 54 321 1559,,25.42137492,55.53559041
Zoko Veterinary Clinic,Ajman,Jerf Industrial,,,https://zokovet.com/,971 54 247 9797,,25.42205561,55.53591841
Bayt Veterinary Clinic,Ajman,Mufaid 2,,,http://baytvet.com/,971 50 764 0145,,25.36639842,55.49246658
The City Vet Clinic,Dubai,Al Barsha,,,http://thecityvetclinic.com/,8003990,alwasl@thecityvetclinic.com,25.09881843,55.20512089
Pet Connection,Dubai,Al Barsha,,,https://petconnection.ae/,971 4 447 5307,info@petconnection.com,25.11541513,55.20561989
Al Barsha Veterinary Clinic,Dubai,Al Barsha,Dr. Abdulrahman AlMansoori,,https://www.abvc.ae/,971 4 340 8601,Info@abvc.ae,25.11347939,55.19444112
Perfect Dose Veterinary Clinic,Dubai,Al Barsha,,,https://perfectdoseveterinaryclinic.com/,971 4 591 3433,info@perfectdoseveterinaryclinic.com,25.08845441,55.19367745
Mike's Veterinary Clinic,Dubai,Al Barsha,,,https://www.mikesvet.com/,971 4 283 7744,reception@mikesvet.com,25.08924657,55.19125862
Vets in the City Veterinary Clinic,Dubai,Al Barsha,Mariam Ahmad,,https://vetsinthecity.me/,971 4 351 8522,info@vetsinthecity.me,25.0840695,55.2007948
Lucky Veterinary Clinic,Dubai,Al Barsha,Yalda Motavali,,http://www.lvc.ae/,971 4 395 1530,info@lvc.ae,25.1130029,55.1915587
Vetcare Veterinary Medical Centre,Dubai,Al Barsha,,,https://www.vetcaredubai.com/,971 4 430 9797,,25.0575504,55.2425246
Pet Connection Veterinary Clinic,Dubai,Al Barsha,Walter Tarello,,http://www.petconnection.ae,971 04 447 5307,info@petconnection.ae,25.1153957,55.2056038
VetDUB Veterinary Clinic,Dubai,Al Barsha South,Dr. Khattab Salam,,https://www.vetdub.ae/,971 4 834 1168,reception@vetdub.ae,25.0695535,55.2421937
Pet First Veterinary Clinic,Dubai,Al Barsha 3,Amer Hejazi,,https://petfirst.ae/,971 4 388 0182,info@petfirst.ae,25.08152036,55.2051535
Vets Fur Pets ,Dubai,Al Barsha 3,Dr. Teena Joseph Head,,https://vetsfurpetsclinic.com/,971 52 490 2369,info@vetsfurpetsclinic.com,25.08186987,55.20465483
Vets Fur Pets ,Dubai,Al Barari,Dr. Teena Joseph Head,,https://vetsfurpetsclinic.com/,971 52 490 2369,info@vetsfurpetsclinic.com,25.09909765,55.31749801
Kings Vet Clinic,Dubai,Al Barari,,,http://kingsvet.ae/,971 4 323 8707,info@kingsvet.ae,25.0901265,55.3155797
Hub Vet Clinic,Dubai,Al Arjan,Ahmed Sabry,,https://hubclinics.com/,971 5 22405605,info@hubclinics.com,25.0618111,55.2379232
Al Hayat Veterinary Clinic,Dubai,Al Awir,Dr. AbdulMuttaleb Kalaji,,https://www.alhayatvetclinic.com/,971 58 593 1952,akalaji@outlook.com,25.1791719,55.5540943
Pet Friends Group,Dubai,Al Furjan,,,http://www.petfriendsgroup.net/,971 55 389 7593,,25.04707921,55.20618354
PetsFirst Veterinary Clinic and Grooming,Dubai,Al Furjan,Wim Torfs,,https://petsfirst.ae/,971 4 575 9646,info@petsfirst.com,25.02509872,55.13923716
Paw Sisters Veterinary Clinic,Dubai,Al Garhoud,,,https://pawsisters.ae/,971 4 259 8688,office@pawsisters.ae,25.2498755,55.3426366
Pet Friends Group,Dubai,Al Jaddaf,,,http://www.petfriendsgroup.net/,971 55 389 7593,,25.22393295,55.3298281
